timestamp,coin,price
2025-11-15 14-41-58,bitcoin,95763
2025-11-15 14-41-58,ethereum,3146.63
2025-11-15 14-41-58,tether,0.999443
2025-11-15 14-41-58,ripple,2.25
2025-11-15 14-41-58,binancecoin,933.3
2025-11-15 14-41-58,solana,140.76
2025-11-15 14-41-58,usd-coin,0.999757
2025-11-15 14-41-58,tron,0.291671
2025-11-15 14-41-58,staked-ether,3142.29
2025-11-15 14-41-58,dogecoin,0.161354
2025-11-15 14-51-19,bitcoin,95889
2025-11-15 14-51-19,ethereum,3152.86
2025-11-15 14-51-19,tether,0.999501
2025-11-15 14-51-19,ripple,2.26
2025-11-15 14-51-19,binancecoin,935.4
2025-11-15 14-51-19,solana,141.04
2025-11-15 14-51-19,usd-coin,0.999773
2025-11-15 14-51-19,tron,0.291902
2025-11-15 14-51-19,staked-ether,3151.72
2025-11-15 14-51-19,dogecoin,0.161912
